Tarih;Konya - Merkez/Trafik;;;;
;PM10 ( - );CO ( - );NO2 ( - );NOX ( - );O3 ( - )
19.05.2021 03:00;2,36;34,15;9,52;11,25;86,27
19.05.2021 04:00;2,12;346,07;49,21;56,8;40,41
19.05.2021 05:00;5,34;161,3;49,05;58,53;35,92
19.05.2021 06:00;6,31;296,97;68;89,89;22,57
19.05.2021 07:00;5,12;53,07;18,82;22,48;68,73
19.05.2021 08:00;9,47;93,22;26,77;33,88;69,13
19.05.2021 09:00;15,07;260,73;37,95;53,62;66,26
19.05.2021 10:00;14,05;255,17;30,84;43,07;82,44
19.05.2021 11:00;14,69;176,94;21,96;29,23;101,22
19.05.2021 12:00;19,35;221,98;29,03;42,35;106,7
19.05.2021 13:00;24,26;189,58;27,72;38,84;115,92
19.05.2021 14:00;21,43;288,07;38,25;60,79;113,14
19.05.2021 15:00;19,21;483,08;42,31;63,82;104,75
19.05.2021 16:00;21,78;341,95;34,5;50,55;103,1
19.05.2021 17:00;25,77;400,28;52,32;81,94;94,24
19.05.2021 18:00;22,43;487,68;68,9;99,12;92,16
19.05.2021 19:00;23,45;605,25;80,07;116,96;78,58
19.05.2021 20:00;27,3;750,11;94,49;137,01;62,39
19.05.2021 21:00;24,99;761,71;106,29;132,84;34,14
19.05.2021 22:00;26,24;976,8;120,23;144,92;12,51
19.05.2021 23:00;31,08;879,71;118,39;146,66;6,27
20.05.2021 00:00;41,31;768,29;108,09;133,27;7,68
20.05.2021 01:00;44,06;541,12;81,46;89,81;12,6
20.05.2021 02:00;34,78;296,25;55,65;60,64;42,39
20.05.2021 03:00;26,04;139,47;23,67;25,73;70,74
20.05.2021 04:00;24,94;110,47;23,64;25,74;65,86
20.05.2021 05:00;23,32;105,79;17,21;19,53;67,81
20.05.2021 06:00;17,96;107,54;20,11;22,58;64,17
20.05.2021 07:00;13,26;133,59;33,55;42,56;56,66
20.05.2021 08:00;13,91;211,69;55,58;79,32;50,6
20.05.2021 09:00;24,37;502,61;71,7;107,25;54,45
20.05.2021 10:00;25,33;425,45;69,66;106,2;66,05
20.05.2021 11:00;31,16;397,73;46,6;73,31;82,17
20.05.2021 12:00;34,77;237,54;43,44;67,28;90,3
20.05.2021 13:00;30,02;149,5;39,42;60,73;93,94
20.05.2021 14:00;22,35;170,76;36,65;56,8;86,11
20.05.2021 15:00;18,13;197,3;45,04;78,28;73,33
20.05.2021 16:00;14,81;151,58;48,51;76,57;73,24
20.05.2021 17:00;19,04;147,34;38,94;61,82;75,24
20.05.2021 18:00;20;129,3;37,22;54,65;73,28
20.05.2021 19:00;20;341,13;67,62;100,68;57,97
20.05.2021 20:00;16,58;327,12;66,97;94,97;56,65
20.05.2021 21:00;15,2;247,85;51,56;64,1;51,37
20.05.2021 22:00;12,58;103,64;30,18;37,09;69,4
20.05.2021 23:00;8,81;-;24,17;29,53;72,05
21.05.2021 00:00;6,16;-;19,1;24,11;76,64
21.05.2021 01:00;4,32;87,13;18,35;24,03;79,83
21.05.2021 02:00;3,23;120,8;19,39;23,11;74,3
21.05.2021 03:00;2,83;105,3;20,71;23,82;66,11
21.05.2021 04:00;2,76;123,56;22,16;26,06;58,85
21.05.2021 05:00;2,71;149,44;24,56;29,41;51,04
21.05.2021 06:00;2,54;91,76;30,85;36,08;48,9
21.05.2021 07:00;2,44;333,75;70,22;98,64;21,03
21.05.2021 08:00;4,66;525,33;100,85;165,1;26,9
21.05.2021 09:00;11,54;634,72;94,09;154,45;41,23
21.05.2021 10:00;14,71;214,86;37,48;56,5;78,57
21.05.2021 11:00;14,66;207,99;38,56;59,65;83,43
21.05.2021 12:00;20,15;224,05;29,65;45,82;86,38
21.05.2021 13:00;29,65;233,02;26,94;43,46;80,62
21.05.2021 14:00;33,03;233,42;22,09;36,43;84,03
21.05.2021 15:00;37,8;428,63;55,17;92,75;74,76
21.05.2021 16:00;39,18;698,51;54,94;97,14;74,16
21.05.2021 17:00;37,19;423,1;46,32;73,07;75,99
21.05.2021 18:00;29,67;458,92;46,42;71,41;76,22
21.05.2021 19:00;21,31;650,23;55,83;90,54;67,32
21.05.2021 20:00;15,12;554,38;62,73;83,97;58,26
21.05.2021 21:00;11,23;417,54;45,71;59,16;67,07
21.05.2021 22:00;8,21;278,25;24,4;30,25;83,64
21.05.2021 23:00;6,99;212,21;15,57;18,8;99,89
22.05.2021 00:00;8,53;176,63;14,96;18,03;102,28
22.05.2021 01:00;12,71;68,33;13,05;15,63;106,33
22.05.2021 02:00;11,66;50,84;14,34;16,76;104,94
22.05.2021 03:00;8,16;26,15;8,29;9,58;107
22.05.2021 04:00;5,72;18,84;8,77;10,92;103,96
22.05.2021 05:00;4;16,85;7,8;10,36;100,64
22.05.2021 06:00;2,93;11,63;9,29;11,77;93,96
22.05.2021 07:00;2,37;25,98;11,46;13,02;90,79
22.05.2021 08:00;2,39;48,75;15,58;18,06;86,68
22.05.2021 09:00;2,66;69,09;19,99;24,88;92,09
22.05.2021 10:00;2,64;57,49;16,48;20,87;98,64
22.05.2021 11:00;2,4;72,64;13,74;17,28;104,31
22.05.2021 12:00;2,4;65,3;10,59;14,08;103,83
22.05.2021 13:00;3,42;105,99;10,92;13,73;101,52
22.05.2021 14:00;3,65;79,6;13,78;18,08;97,49
22.05.2021 15:00;3,46;88,69;14,51;19,91;96,05
22.05.2021 16:00;6,49;93,51;13,11;17,22;96,62
22.05.2021 17:00;9,1;94,65;13,6;17,73;97,68
22.05.2021 18:00;8,2;111,74;15,92;20,14;95,99
22.05.2021 19:00;6,14;155,55;19,45;23,15;84,66
22.05.2021 20:00;4,6;118,3;19,44;22,55;88,52
22.05.2021 21:00;10,66;91,68;15,2;17,31;89,75
22.05.2021 22:00;11,74;88,79;14,37;16,39;84,65
22.05.2021 23:00;8,55;69,17;11,11;13,09;84,16
23.05.2021 00:00;6,46;59,16;10,46;12,12;83,7
23.05.2021 01:00;4,73;46,1;9,68;12,02;80,73
23.05.2021 02:00;3,44;42,92;7,95;9,46;-
23.05.2021 03:00;2,68;41,18;10,13;12,21;81,79
23.05.2021 04:00;2,24;19,79;6,45;7,86;86,14
23.05.2021 05:00;2,13;34,2;9,87;11,5;82,6
23.05.2021 06:00;1,86;50,22;18,15;21,06;70,71
23.05.2021 07:00;1,51;74,56;18,14;20,81;67,41
23.05.2021 08:00;1,26;19,8;8,93;10,9;87,34
23.05.2021 09:00;1,07;47,99;8,19;10,77;94,14
23.05.2021 10:00;1,16;43,06;9,3;12,46;99,19
23.05.2021 11:00;1,31;68,75;9,2;12,7;102,86
23.05.2021 12:00;1,4;76,94;7,33;9,99;105,05
23.05.2021 13:00;1,42;84,57;7,36;9,36;107,19
23.05.2021 14:00;1,45;90,59;8,18;10,64;108,97
23.05.2021 15:00;1,45;89,88;7,94;10;108,03
23.05.2021 16:00;1,46;91,23;8,49;10,78;105,05
23.05.2021 17:00;1,5;84;8,94;11,24;105,91
23.05.2021 18:00;1,49;87,03;8,89;11,24;106,63
23.05.2021 19:00;1,45;72,51;10,54;12,92;106,35
23.05.2021 20:00;1,41;70,54;13,6;15,76;102,93
23.05.2021 21:00;1,37;75,51;19,46;21,46;94,46
23.05.2021 22:00;1,33;169,32;41,12;44,05;64,66
23.05.2021 23:00;1,29;108,76;35,27;39,41;73,85
24.05.2021 00:00;1,25;34,85;19,93;21,28;94,24
24.05.2021 01:00;1,25;131,31;32,14;36,15;63,34
24.05.2021 02:00;1,25;110,5;15,58;18,04;75,74
24.05.2021 03:00;1,64;151,57;18,72;21,41;66,57
24.05.2021 04:00;2,2;154,08;26,01;28,55;52,14
24.05.2021 05:00;2,33;112,53;14,08;17,41;76,52
24.05.2021 06:00;2,19;233,83;33,76;39,14;54,46
24.05.2021 07:00;2,14;255,57;39,75;48,85;43,6
24.05.2021 08:00;3,47;367,23;49,38;71,63;46,33
24.05.2021 09:00;9,03;486,34;54,12;82,29;57,62
24.05.2021 10:00;9,54;441,75;44,64;70,02;72,4
24.05.2021 11:00;7,34;493,26;44,39;64,17;71,86
24.05.2021 12:00;9,12;457,65;44,34;65,62;79,6
24.05.2021 13:00;11,54;469,74;45,77;67,68;81,51
24.05.2021 14:00;10,32;501,79;50,25;73,58;83,33
24.05.2021 15:00;8,02;711,87;63,71;102,48;78,31
24.05.2021 16:00;9,26;811,56;76,04;123,68;75,21
24.05.2021 17:00;16,65;790,98;74,07;112,82;72,77
24.05.2021 18:00;16,22;820,77;84,57;133,58;66,06
24.05.2021 19:00;14,16;821,31;62,15;90,47;71,97
24.05.2021 20:00;12,23;1.075,06;99,69;144,98;43,64
24.05.2021 21:00;19,78;1.084,37;105,55;126,94;20,31
24.05.2021 22:00;25,5;831,43;99,93;121,46;13
24.05.2021 23:00;24,92;522,3;60,64;64,66;33,71
25.05.2021 00:00;23,17;535,03;68,96;77,06;27,95
25.05.2021 01:00;22,11;599,39;92,42;115,8;7,29
25.05.2021 02:00;21,9;395,38;76,67;89,11;13,16
25.05.2021 03:00;29,02;362,5;59,91;65,01;22,35
25.05.2021 04:00;27,21;221,71;30,45;33,54;46,6
25.05.2021 05:00;28,86;167,34;19,8;22,39;54,47
25.05.2021 06:00;25,67;181,38;22,63;25,37;58,01
25.05.2021 07:00;18,43;255,24;39,19;46,61;60,2
25.05.2021 08:00;19,42;264,06;37,18;46,62;70,35
25.05.2021 09:00;19,89;355,83;43,17;58,29;71,21
25.05.2021 10:00;15,64;439,74;52,39;73,3;71,42
25.05.2021 11:00;15,29;450,67;49,61;72,99;75,84
25.05.2021 12:00;16,98;430,79;44,9;64,76;82,24
25.05.2021 13:00;22,8;354,81;37,78;55,12;91,15
25.05.2021 14:00;20,7;353,17;34,78;49,89;89,73
25.05.2021 15:00;15,48;514,17;48,94;74,51;85,37
25.05.2021 16:00;17,33;513,89;63,82;96,71;85,82
25.05.2021 17:00;21,72;464,81;54,34;76,26;86,86
25.05.2021 18:00;19,2;469,31;65,38;93,38;80,36
25.05.2021 19:00;16,48;589,86;74,04;104,69;70,48
25.05.2021 20:00;14,24;745,01;100,93;140,17;49,91
25.05.2021 21:00;15,62;1.149,22;119,38;159,59;22,38
25.05.2021 22:00;20,06;721,48;111,95;132,61;8,59
25.05.2021 23:00;24,31;689,5;103,55;129,63;5,54
26.05.2021 00:00;27,07;251,57;46,16;50,92;46,95
26.05.2021 01:00;25,97;141,83;27,95;32,26;66,62
26.05.2021 02:00;20,22;156,83;20,09;23,71;74,82
26.05.2021 03:00;14,53;146,67;13,89;16,45;78,3
26.05.2021 04:00;12,03;177,11;28,52;32,46;57,75
26.05.2021 05:00;13,07;331,57;58,57;63,36;19,06
26.05.2021 06:00;11,7;200,4;35,36;40,41;47,29
26.05.2021 07:00;10,59;418,92;60,22;78,97;25,97
26.05.2021 08:00;17,21;287,07;61,84;87,13;49,03
26.05.2021 09:00;30,71;781,2;114,86;182,32;31,62
26.05.2021 10:00;39,18;561,74;80,77;116,12;56,26
26.05.2021 11:00;43,37;347,37;43,03;57,46;98,1
26.05.2021 12:00;41,39;335,48;40,46;55,64;123,91
26.05.2021 13:00;40,67;369,15;39,15;51,05;135,67
26.05.2021 14:00;38,24;363,75;35,83;45,33;147,7
26.05.2021 15:00;34,95;419,4;56,69;75,28;137,88
26.05.2021 16:00;36,23;361,31;39,96;50,46;138,49
26.05.2021 17:00;35,19;404,16;51;66,77;125,72
26.05.2021 18:00;27,47;445,81;67,46;91,19;103,15
26.05.2021 19:00;26,5;563,77;80,18;107,82;88,23
26.05.2021 20:00;24,02;761,6;111,89;155,16;56,82
26.05.2021 21:00;26,51;744,9;100,78;134,52;53,03
26.05.2021 22:00;23,19;462,86;81,09;89,14;37,76
26.05.2021 23:00;16,23;517,69;88,26;95,41;24,04
27.05.2021 00:00;26,51;978,57;118,33;154,48;6,34
27.05.2021 01:00;36,96;495,7;90,57;101,72;18,7
27.05.2021 02:00;31,5;319,93;56,47;59,49;40,25
27.05.2021 03:00;25,38;240,04;39,27;42,18;51,54
27.05.2021 04:00;22,68;110,57;17,7;19,57;70,54
27.05.2021 05:00;18,84;95,45;19,12;21,5;67,75
27.05.2021 06:00;14,49;184,78;47,69;54,99;36,71
27.05.2021 07:00;10,74;396,47;61,72;80,53;30,23
27.05.2021 08:00;19,42;208,95;47,09;58,88;58,07
27.05.2021 09:00;29,04;510,35;74,72;106,37;53,02
27.05.2021 10:00;30,04;468,16;75,9;115,93;60,91
27.05.2021 11:00;32,63;404,07;55,19;79,37;85,87
27.05.2021 12:00;32,57;422,81;48,36;65,6;87,18
27.05.2021 13:00;31,67;470,19;50,28;68,18;97,1
27.05.2021 14:00;-;-;46,73;-;-
27.05.2021 15:00;20,58;521,27;67,02;96,67;87,45
27.05.2021 16:00;21,49;741,03;80,17;113,13;68,78
27.05.2021 17:00;19,97;529,34;55,09;78,62;84,05
27.05.2021 18:00;15,63;460,17;56,72;76,61;82,49
27.05.2021 19:00;14,31;672,03;63,26;73,82;71,97
27.05.2021 20:00;21,68;567,97;59,48;78,76;73,25
27.05.2021 21:00;27,83;394,6;34,08;42,32;83,89
27.05.2021 22:00;23,62;371,77;40,77;47,2;68,56
27.05.2021 23:00;17,14;346,59;31,37;38,61;70,89
28.05.2021 00:00;12,88;303,53;27,17;35,46;74,11
28.05.2021 01:00;11,13;250,81;33,08;38,65;70,38
28.05.2021 02:00;9,2;271,33;48,58;60,42;49,73
28.05.2021 03:00;6,88;256,42;41,38;47,75;45,07
28.05.2021 04:00;14,54;291,19;46,72;54,59;30,74
28.05.2021 05:00;23,25;205,17;24,92;30,83;51,66
28.05.2021 06:00;20,76;139,96;21,78;25,97;57,93
28.05.2021 07:00;14,89;193,68;29,94;37,64;58,72
28.05.2021 08:00;11,09;313,29;52,38;76,13;49,76
28.05.2021 09:00;11,53;380,3;53,93;76,73;70,28
28.05.2021 10:00;9,89;371,47;43,51;62,37;93,05
28.05.2021 11:00;6,92;355,96;41,32;57,82;101,92
28.05.2021 12:00;7,14;316,41;33,15;47,01;108,33
28.05.2021 13:00;14,73;321,79;33,6;48,25;108,16
28.05.2021 14:00;15,04;409,07;37,5;59,1;99,58
28.05.2021 15:00;13,2;623,28;58,29;91,61;86,89
28.05.2021 16:00;17,61;314,98;67,32;116,64;79,03
28.05.2021 17:00;19,5;297,97;37,97;54,66;84,27
28.05.2021 18:00;18,25;323,91;41,14;61,68;76,92
28.05.2021 19:00;16,69;438,2;50,2;68,81;72,97
28.05.2021 20:00;18,64;425,55;56,66;72,24;64,55
28.05.2021 21:00;21,75;311,33;42,2;51,01;70,57
28.05.2021 22:00;18,46;155,52;23,32;28,5;81,6
28.05.2021 23:00;13,17;110,19;16,57;21,34;86,63
29.05.2021 00:00;12,2;110,84;18,9;24,59;78,74
29.05.2021 01:00;18,2;79,01;8,13;11,14;84,13
29.05.2021 02:00;16,95;45,42;7,83;9,8;86,24
29.05.2021 03:00;14,79;98,27;8,23;10,05;91,56
29.05.2021 04:00;24,31;149,66;7,47;9,16;101,28
29.05.2021 05:00;32,92;127,1;6,9;8,57;104,59
29.05.2021 06:00;28,59;128,79;8,62;10,47;102,99
29.05.2021 07:00;21,47;137,5;11,88;14,5;100,24
29.05.2021 08:00;18,13;170,53;16,94;20,47;96,42
29.05.2021 09:00;16,78;183,36;23,72;28,53;88,54
29.05.2021 10:00;13,36;163,71;16,07;19,83;97,95
29.05.2021 11:00;9,45;150,64;15,63;20,15;101,32
29.05.2021 12:00;6,68;155,8;12,79;16,21;104,69
29.05.2021 13:00;-;-;-;-;-
29.05.2021 14:00;11,96;146,53;12,69;16,43;110,32
29.05.2021 15:00;9,14;171,99;13,68;17,94;110,35
29.05.2021 16:00;12,76;161,2;14,54;18,05;111,47
29.05.2021 17:00;12,25;155,5;14,52;18,34;112,32
29.05.2021 18:00;9,14;168,48;17,09;21,51;110,1
29.05.2021 19:00;6,72;170,19;20,16;23,53;106,26
29.05.2021 20:00;4,75;189,7;20,41;24,81;101,77
29.05.2021 21:00;3,38;185,47;23,47;26,83;94,74
29.05.2021 22:00;2,47;182,87;24,18;28,67;85,28
29.05.2021 23:00;1,86;131,42;22,32;25,8;81,8
30.05.2021 00:00;1,66;107,01;20,08;22,22;81,13
30.05.2021 01:00;3,17;93,48;18,5;21,96;79,39
30.05.2021 02:00;3,7;36,35;13,12;15,47;85,7
30.05.2021 03:00;3,6;31,64;8,46;9,48;88,39
30.05.2021 04:00;3,35;27,47;8,28;9,32;85,98
30.05.2021 05:00;3,05;24,39;8,67;9,62;75,8
30.05.2021 06:00;2,77;39,67;9,6;10,7;70,89
30.05.2021 07:00;2,53;-;8,77;-;-
30.05.2021 08:00;2,36;56,39;11,45;14,1;80,05
30.05.2021 09:00;2,26;157,69;18,04;23,17;87,32
30.05.2021 10:00;2,21;107,13;11,61;14,72;99,74
30.05.2021 11:00;2,36;100,93;8,05;10,37;107,93
30.05.2021 12:00;2,42;114,76;9,6;12,99;111,72
30.05.2021 13:00;2,82;122,41;10,4;13,55;114,58
30.05.2021 14:00;2,98;139,31;11,28;14,68;118,2
30.05.2021 15:00;2,94;144,35;9,74;12,59;121,41
30.05.2021 16:00;4,71;183,91;13,72;17,4;120,79
30.05.2021 17:00;5,61;137,58;12,26;15,54;117,79
30.05.2021 18:00;5,11;133,11;14,82;17,51;115
30.05.2021 19:00;4,15;128,98;12,82;16,58;109,48
30.05.2021 20:00;3,09;136,84;17,46;20,91;103,79
30.05.2021 21:00;4,51;121,2;13,79;16,62;101,57
30.05.2021 22:00;5,39;111,4;12,58;14,94;99,82
30.05.2021 23:00;5;127,83;17,07;20,4;98,68
31.05.2021 00:00;7,09;75,95;12,13;14,08;98,34
31.05.2021 01:00;8,17;74,19;13,98;15,53;90,88
31.05.2021 02:00;7,28;142,99;18,39;20,68;71,5
31.05.2021 03:00;9,74;148,63;20,88;24,84;61,39
31.05.2021 04:00;16,95;161,89;19,14;21,5;63,66
31.05.2021 05:00;23,64;153,47;16,61;20,47;64,83
31.05.2021 06:00;20,88;167,91;17,98;20,84;69,5
31.05.2021 07:00;17,62;350,71;43,65;52,28;41,2
31.05.2021 08:00;22,45;420,86;53,14;72,19;45,34
31.05.2021 09:00;31,34;597,9;75,01;113,93;48,41
31.05.2021 10:00;27,72;530,68;56,59;85,25;66,87
31.05.2021 11:00;20,63;444,23;55,42;76,8;77,66
31.05.2021 12:00;21,65;393,96;43,95;64,53;96,22
31.05.2021 13:00;25,08;498,86;54,51;84,46;96,03
31.05.2021 14:00;20,98;470,69;59,25;92,95;92,44
31.05.2021 15:00;15,93;780,32;73,2;114,21;82,53
31.05.2021 16:00;18,99;386,68;51,42;78,44;83,95
31.05.2021 17:00;22,74;505,59;55;83,1;55,4
31.05.2021 18:00;20,58;954,13;82,58;124,64;31,5
31.05.2021 19:00;24,65;413,55;55,2;76,82;54,17
31.05.2021 20:00;24,01;403,08;52,59;68,23;51,43
31.05.2021 21:00;23,93;486,94;52,77;64,24;48,46
31.05.2021 22:00;20,88;240,35;27,52;35,68;68,99
31.05.2021 23:00;23,94;237,99;27,93;35,38;63,73
1.06.2021 00:00;26,3;382,69;58,43;74,57;34,34
1.06.2021 01:00;29,52;318,4;51,44;79,25;39,62
1.06.2021 02:00;25,27;440,72;60,17;73,77;18,52
1.06.2021 03:00;25,72;736,77;53,84;65,78;19,73
1.06.2021 04:00;26;288,83;31,59;38,44;28,13
1.06.2021 05:00;30,38;213,7;23,71;29,96;32,25
1.06.2021 06:00;27,04;208,31;26,19;32,35;29
1.06.2021 07:00;24,68;216,23;34,47;45,47;32,44
1.06.2021 08:00;29,94;368,24;45,61;62,91;38,37
1.06.2021 09:00;37,46;595,38;66,32;104,11;44,28
1.06.2021 10:00;32,42;474,39;52,78;79,05;62,07
1.06.2021 11:00;28,54;358,46;38,2;58,11;75,4
1.06.2021 12:00;29,95;250,96;29,65;46,43;83,13
1.06.2021 13:00;25,72;192,44;24,71;37,99;91,16
1.06.2021 14:00;19,11;264,76;42,64;68,16;84,91
1.06.2021 15:00;13,74;425,25;66,36;108,27;73,12
1.06.2021 16:00;12,28;360,83;47,52;70,59;74,37
1.06.2021 17:00;13,68;217,78;27,4;37,73;85,75
1.06.2021 18:00;11,5;257,89;42,02;59,81;86,9
1.06.2021 19:00;8,55;508,3;71,8;104,9;59,35
1.06.2021 20:00;6,41;419,55;56,93;75,04;66,21
1.06.2021 21:00;7,72;471,36;67,54;83,73;44,49
1.06.2021 22:00;7,28;465,9;55,7;68,64;47,97
1.06.2021 23:00;5,32;387,79;58,33;68,64;36,01
2.06.2021 00:00;10,95;530,36;72,66;88,23;20,32
2.06.2021 01:00;14,05;826,18;82,71;100,83;9,62
2.06.2021 02:00;11,89;534;60,24;71,25;23,21
2.06.2021 03:00;12,6;207,35;33,1;43,41;41,49
2.06.2021 04:00;16,44;-;22,5;-;-
2.06.2021 05:00;-;-;-;-;-
2.06.2021 06:00;12,13;120,85;21,2;27,48;40,88
2.06.2021 07:00;8,82;135,45;32,17;41,09;35,98
2.06.2021 08:00;6,72;-;-;-;-
2.06.2021 09:00;10,42;450,14;65,35;98,9;45,75
2.06.2021 10:00;10,54;446,28;62,13;99,64;56,12
2.06.2021 11:00;12,06;316;46,68;67,57;71,35
2.06.2021 12:00;5,3;265,97;34,7;50,37;82,52
2.06.2021 13:00;6,21;356,21;49,21;71;79,85
2.06.2021 14:00;13,1;267,64;39,28;55,11;88,34
2.06.2021 15:00;18,07;202,26;30,14;42,57;95,7
2.06.2021 16:00;17,43;192,1;29,13;40,82;91,92
2.06.2021 17:00;12,61;193,07;27,75;36,45;89,95
2.06.2021 18:00;9,49;190,74;32,93;44,76;84,81
2.06.2021 19:00;7,41;307,34;50,14;64,88;72,04
2.06.2021 20:00;5,51;458,99;59,23;78,67;66,82
2.06.2021 21:00;3,91;412;58,56;71,37;60,5
2.06.2021 22:00;2,85;367,33;52,1;61,66;61,01
2.06.2021 23:00;5,11;90,68;25,98;30,56;75,39
3.06.2021 00:00;14,05;53,49;23,59;29,42;69,39
3.06.2021 01:00;16,55;250,51;26,68;31,09;54,54
3.06.2021 02:00;12,38;90,88;17,59;20,09;59,01
3.06.2021 03:00;9,47;78,49;16,96;19,04;53,61
3.06.2021 04:00;7,42;78,97;14,54;16,26;50,39
3.06.2021 05:00;5,54;59,9;9,62;11,38;56,76
3.06.2021 06:00;3,93;61,35;12,63;15,02;46,95
3.06.2021 07:00;2,87;220,04;42,41;57,78;24,23
3.06.2021 08:00;4,9;239;42,24;67,23;34,02
3.06.2021 09:00;6,32;-;-;-;-
3.06.2021 10:00;8,94;360,98;46,74;75,45;48,57
3.06.2021 11:00;14,24;322,29;42,49;62,79;59,04
3.06.2021 12:00;14,98;305,05;40,89;60,63;72,34
3.06.2021 13:00;11,97;358,22;39,94;56,2;83,08
3.06.2021 14:00;13,79;400,57;45,3;63,57;102,67
3.06.2021 15:00;18,42;470,06;51,18;70,24;104,26
3.06.2021 16:00;27,21;564,03;49,01;66,29;84,61
3.06.2021 17:00;27,61;636,01;74;105,79;58,03
3.06.2021 18:00;21,56;556,42;70,52;101,07;61,95
3.06.2021 19:00;17,92;751,5;80,29;114,49;51,88
3.06.2021 20:00;18,24;781,63;94,94;127,91;36,17
3.06.2021 21:00;16,44;447,43;51,69;63,04;59,94
3.06.2021 22:00;15,39;356,01;38,41;47,54;62,96
3.06.2021 23:00;14,01;173,21;26,37;30;67,51
4.06.2021 00:00;12,55;96,26;20,46;23,45;68,56
4.06.2021 01:00;11,21;69,27;18,39;21,05;67,9
4.06.2021 02:00;8,36;60,81;14,79;17,41;73,13
4.06.2021 03:00;7,1;37,72;13,44;15,89;68,34
4.06.2021 04:00;9,02;160,66;43,67;51,47;34,48
4.06.2021 05:00;9,2;150,38;39,7;44,77;31,89
4.06.2021 06:00;7,03;153,56;36,87;42,21;32,36
4.06.2021 07:00;5,86;149,21;38,3;52,63;43,88
4.06.2021 08:00;11,49;218,1;47,39;68,58;36,52
4.06.2021 09:00;13,44;308,55;40,46;57,63;50,33
4.06.2021 10:00;11,4;462,91;61,27;92,13;45,34
4.06.2021 11:00;21,58;310,51;41,62;62,42;66,45
4.06.2021 12:00;28,46;289,83;38,22;57,39;71,68
4.06.2021 13:00;23,28;296,59;33,7;51,66;76,07
4.06.2021 14:00;16,89;332,09;35,54;52,04;76
4.06.2021 15:00;17,32;408,52;57,07;89,2;67,67
4.06.2021 16:00;22,42;645,91;62,51;95,1;62,57
4.06.2021 17:00;20,57;716,49;59,38;84,76;64,36
4.06.2021 18:00;14,6;606,32;67,78;97,78;57,64
4.06.2021 19:00;12,4;749,94;63,81;84,91;53,86
4.06.2021 20:00;14,57;603,85;66,68;90,2;48,11
4.06.2021 21:00;13,78;316,75;38,72;47;64,18
4.06.2021 22:00;11,57;335,91;39,19;49,84;62,54
4.06.2021 23:00;9,73;174,13;26,56;30,63;65,8
5.06.2021 00:00;11,07;81,04;26,38;29,86;62,97
5.06.2021 01:00;11,45;70,91;19,52;23,56;59,64
5.06.2021 02:00;8,76;61,62;14,47;16,38;60,16
5.06.2021 03:00;7,74;45,57;11,77;13,13;63,2
5.06.2021 04:00;8,1;40,28;13,16;16,37;64,76
5.06.2021 05:00;7,47;75,9;15,37;17,97;58,25
5.06.2021 06:00;6,03;78,75;21,41;24,63;54,32
5.06.2021 07:00;4,94;84,68;24,29;30,16;51,69
5.06.2021 08:00;5,77;143,89;28,68;39,1;60,56
5.06.2021 09:00;5,82;235,61;33,74;48,42;59,65
5.06.2021 10:00;5,6;184,61;31,58;46,26;63,86
5.06.2021 11:00;6,63;255,44;34,02;50,68;66,83
5.06.2021 12:00;10,73;287,72;35,22;52,15;65,75
5.06.2021 13:00;11,78;359,87;48,59;74,51;63,32
5.06.2021 14:00;8,83;474,26;53,34;88,83;61,7
5.06.2021 15:00;8,88;-;41,8;-;-
5.06.2021 16:00;11,25;436,66;58,4;88,55;61,2
5.06.2021 17:00;14,91;481,97;38,26;53,78;71,04
5.06.2021 18:00;18,78;538,84;58,27;82,74;63,24
5.06.2021 19:00;20,9;687,75;69,06;93,93;53,6
5.06.2021 20:00;22,37;638,19;71,53;96,59;49,08
5.06.2021 21:00;19,5;651,1;55,32;65,17;53,86
5.06.2021 22:00;20,72;301,18;43,46;51,15;62,78
5.06.2021 23:00;20,92;97,48;29,2;33,8;75,06
6.06.2021 00:00;19,42;30,72;16,72;19,5;77,04
6.06.2021 01:00;17;90,33;16,99;19,36;65,25
6.06.2021 02:00;12,74;80,31;15,28;16,72;61,91
6.06.2021 03:00;10,84;69,88;10,09;11,27;66,16
6.06.2021 04:00;10,72;55,15;7,63;8,57;68,01
6.06.2021 05:00;9,35;60,91;9,51;10,73;65,22
6.06.2021 06:00;7,32;82,09;12,79;13,86;55,93
6.06.2021 07:00;5,72;67,55;12,4;13,94;52,64
6.06.2021 08:00;4,62;66,45;12,42;15,43;67,4
6.06.2021 09:00;4,09;141,02;16,65;22,11;69,95
6.06.2021 10:00;3,8;271,6;25,7;33,7;66,67
6.06.2021 11:00;3,44;158,3;14,24;18,48;85,62
6.06.2021 12:00;2,84;124;12,66;16,39;94,54
6.06.2021 13:00;2,53;159,94;14,08;17,9;99,17
6.06.2021 14:00;2,53;143,79;16,27;20,53;103,53
6.06.2021 15:00;2,39;147,26;14,93;20,33;105,73
6.06.2021 16:00;3,44;160,17;16,94;21,24;107,12
6.06.2021 17:00;4,1;186,42;16,82;20,73;109,21
6.06.2021 18:00;3,8;179,28;18,49;22,64;106,47
6.06.2021 19:00;3,61;160,4;23,64;28,4;99,91
6.06.2021 20:00;3,43;148,31;21,12;25,59;103,92
6.06.2021 21:00;3,26;131,45;37,49;40,06;84,12
6.06.2021 22:00;3,15;316,68;60,16;63,69;46,85
6.06.2021 23:00;3,52;553,26;93,99;110,33;-
