Tarih;Konya - Merkez/Trafik;;;;
;PM10 ( - );CO ( - );NO2 ( - );NOX ( - );O3 ( - )
4.05.2021 21:00;33,77;131,91;10,63;11,75;90,55
4.05.2021 22:00;24,58;140,46;11,55;13,79;84,13
4.05.2021 23:00;19,51;145,45;12,38;14,29;80
5.05.2021 00:00;21,01;119,42;12,34;14,02;78,46
5.05.2021 01:00;18,44;111,12;17,82;20,46;70,27
5.05.2021 02:00;13,09;113,08;23,94;27,69;55,64
5.05.2021 03:00;9,69;83,92;14,02;16,44;66,32
5.05.2021 04:00;9,51;68,77;11,69;14,02;67,52
5.05.2021 05:00;12,1;55,36;11,49;13,18;64,99
5.05.2021 06:00;10,98;63,05;12,9;14,62;58,62
5.05.2021 07:00;8,04;82,09;18,54;22,55;54,06
5.05.2021 08:00;9,93;148,57;27,29;38,48;48,61
5.05.2021 09:00;17,75;241,78;36,03;53,74;46,91
5.05.2021 10:00;17,56;252,46;33,28;46,67;56,9
5.05.2021 11:00;14,47;205,22;22,68;31,22;79,32
5.05.2021 12:00;21;190,51;16,73;23,25;88,86
5.05.2021 13:00;25,6;182,49;14,2;19,48;96,52
5.05.2021 14:00;21,32;192,41;14,1;19,22;101,56
5.05.2021 15:00;16,89;208,35;16,81;23,82;105,06
5.05.2021 16:00;20,1;223,45;16,64;22,55;106,67
5.05.2021 17:00;24,44;223,05;20,9;27,93;103,15
5.05.2021 18:00;20,72;214,46;19,02;22,77;102,71
5.05.2021 19:00;14,78;254,75;29,38;35,87;87,57
5.05.2021 20:00;15,48;287,72;41,18;49,82;65,78
5.05.2021 21:00;18,44;210,92;35,13;38,49;62,29
5.05.2021 22:00;18,92;220,78;31,03;34,46;64,74
5.05.2021 23:00;22,83;308,17;39,85;43,02;46,76
6.05.2021 00:00;29,51;321,21;54,92;62,43;29,17
6.05.2021 01:00;30,93;148,11;24,04;27,13;69,06
6.05.2021 02:00;24,53;50,65;11,06;12,7;88,67
6.05.2021 03:00;17,17;55,88;16,04;18,22;77,11
6.05.2021 04:00;12,02;57,2;19,18;22,16;72,25
6.05.2021 05:00;8,73;-;13,87;15,29;76,92
6.05.2021 06:00;6,36;-;21,25;24,15;65,55
6.05.2021 07:00;10,53;174,65;39,36;46,57;37,87
6.05.2021 08:00;19,2;286,76;65,62;82,86;22,17
6.05.2021 09:00;27,67;317,22;72,05;94,38;29,17
6.05.2021 10:00;27,07;295,22;62,13;79,23;47,47
6.05.2021 11:00;27,92;187,16;51,91;67,36;63,26
6.05.2021 12:00;35,13;127,79;30,62;39,96;83,33
6.05.2021 13:00;44;102,06;25,02;33,89;93,81
6.05.2021 14:00;38,42;161,36;34,31;42,26;88,22
6.05.2021 15:00;35,4;146,08;27,99;34,07;95,79
6.05.2021 16:00;34,55;126,57;22,17;27,06;96,85
6.05.2021 17:00;34,98;151,15;23,14;29,36;88,4
6.05.2021 18:00;29,16;163,77;23,81;31,09;87,78
6.05.2021 19:00;23,32;196,19;26,48;32,42;81,14
6.05.2021 20:00;21,94;178,6;24,14;27,29;78,72
6.05.2021 21:00;22,55;135,95;20,64;24,29;76,51
6.05.2021 22:00;18,75;134,74;27,82;31,37;64,05
6.05.2021 23:00;13,79;174,66;35,58;38,87;54,05
7.05.2021 00:00;12,24;180,84;38,75;43,77;51,88
7.05.2021 01:00;15,99;339,76;55,36;63,6;27,14
7.05.2021 02:00;14,88;280,26;39,61;43,11;38,5
7.05.2021 03:00;10,6;185,88;19,79;22,49;60,29
7.05.2021 04:00;9,11;158,17;20,28;22,97;57,71
7.05.2021 05:00;8,47;157,01;15,7;17,48;59,88
7.05.2021 06:00;7,09;124,69;16,51;18,21;58,14
7.05.2021 07:00;5,62;119,73;17,55;20,84;62,46
7.05.2021 08:00;4,74;134,23;26,51;33,28;60,1
7.05.2021 09:00;6,05;205,59;28,93;37,48;71,42
7.05.2021 10:00;6,2;205,01;23,84;31,63;82,04
7.05.2021 11:00;6,46;189,89;17,69;23,47;98,37
7.05.2021 12:00;8,21;184,72;17,11;23,33;102,81
7.05.2021 13:00;13,01;167,6;15,47;21,6;103,46
7.05.2021 14:00;13,02;164,53;14,23;18,83;109,3
7.05.2021 15:00;10,68;250,93;22,63;30,64;111,1
7.05.2021 16:00;13,63;228,82;24,84;37,1;112,47
7.05.2021 17:00;16,52;261,28;28,79;39,3;110,54
7.05.2021 18:00;14,34;249,71;40,29;59,17;102,09
7.05.2021 19:00;10,74;245,74;39,26;50,09;96,98
7.05.2021 20:00;7,74;323,76;44,33;55,14;87,54
7.05.2021 21:00;9,78;242,67;37,1;40,91;83,49
7.05.2021 22:00;9,37;346,4;39,55;42,66;70,66
7.05.2021 23:00;6,88;637,92;79,56;87,22;19,9
8.05.2021 00:00;12,11;567,9;89,67;107,49;13,46
8.05.2021 01:00;32,39;582,17;83,92;96,34;12,12
8.05.2021 02:00;33,34;338,39;50,89;54,44;39,6
8.05.2021 03:00;26,25;221,08;29;31,61;55,06
8.05.2021 04:00;29,73;169,77;23,23;27,48;63,41
8.05.2021 05:00;30,6;203,45;36,51;42,17;48,06
8.05.2021 06:00;24,17;430,14;63,8;80,05;20,17
8.05.2021 07:00;27,39;409,37;66,89;85,79;10,37
8.05.2021 08:00;46,85;427,16;69,74;97,45;14,49
8.05.2021 09:00;60,16;538,39;82,62;123,5;17,85
8.05.2021 10:00;65,52;610,13;86,11;129,31;25,47
8.05.2021 11:00;78,86;406,83;61,1;88,44;49,07
8.05.2021 12:00;83,08;221,15;24,38;31,44;87,89
8.05.2021 13:00;74,8;255,87;24,08;31,15;96,24
8.05.2021 14:00;54,6;227,07;15,3;20,68;102,26
8.05.2021 15:00;42,81;235,58;18,06;24,45;84,31
8.05.2021 16:00;38,31;189,24;20,35;26,94;76,62
8.05.2021 17:00;35,34;171,36;17,81;23,97;81,67
8.05.2021 18:00;30,8;160,48;14,37;18,66;80,79
8.05.2021 19:00;30,1;180,94;15,56;18,53;85,22
8.05.2021 20:00;31,09;205,98;30,94;38,15;73,94
8.05.2021 21:00;27,13;188,27;22,09;27,38;76,04
8.05.2021 22:00;20,23;191,75;27,89;32,79;66,4
8.05.2021 23:00;19,6;164,92;28,01;35,78;68,8
9.05.2021 00:00;26,58;285,42;54,75;64,08;25,81
9.05.2021 01:00;37,54;183,04;35,12;38,18;46,86
9.05.2021 02:00;34,25;92,46;19,1;21,79;81,37
9.05.2021 03:00;24,52;-;13,99;17,21;99,03
9.05.2021 04:00;20,28;-;10,41;12,04;95,15
9.05.2021 05:00;17,64;64,01;26,99;32,66;76,31
9.05.2021 06:00;14,97;65,36;22,53;24,65;67,82
9.05.2021 07:00;11,81;60,8;8,17;9,94;78,91
9.05.2021 08:00;23,99;118,74;19,88;24,83;67,63
9.05.2021 09:00;32,1;114,7;9,43;12,48;75,77
9.05.2021 10:00;26,15;145,27;8,67;11,78;79,3
9.05.2021 11:00;18,9;154,14;8,36;11,32;82,83
9.05.2021 12:00;17,31;179,44;8,04;11,03;82,99
9.05.2021 13:00;15,84;148,9;9,48;12,74;83,38
9.05.2021 14:00;12,41;140,36;7,8;10,53;89,32
9.05.2021 15:00;9,59;132,34;9,39;12,52;95,19
9.05.2021 16:00;7,33;114,24;10,19;13,26;102,28
9.05.2021 17:00;5,38;103,73;12,11;16,33;104,26
9.05.2021 18:00;4,26;72,2;10,15;12,59;104,84
