_id,date,pm10_µg_m3,so2_µg_m3,no2_mg_m3,nox_µg_m3,o3_µg_m3
80,2021-03-14 23:00:00,14.06,14.39,34.54,39.22,25.75
81,2021-03-15 00:00:00,19.5,14.58,43.81,52.62,28.66
82,2021-03-15 01:00:00,14.92,7.94,58.14,75.57,
83,2021-03-15 02:00:00,13.6,7.18,,,19.51
84,2021-03-15 03:00:00,12.9,8.29,40.51,44.05,19.36
85,2021-03-15 04:00:00,14.97,8.27,32.42,34.92,23.32
86,2021-03-15 05:00:00,18.57,8.48,27.63,29.79,31.22
87,2021-03-15 06:00:00,17.93,9.54,39.57,44.94,14.86
88,2021-03-15 07:00:00,29.31,9.82,45.22,53.79,8.0
89,2021-03-15 08:00:00,25.68,12.94,52.28,69.3,4.8
90,2021-03-15 09:00:00,36.72,12.19,52.0,72.41,9.46
91,2021-03-15 10:00:00,34.48,11.83,55.39,74.37,15.67
92,2021-03-15 11:00:00,32.66,12.86,75.94,114.08,7.95
93,2021-03-15 12:00:00,37.05,11.8,62.76,84.16,16.88
94,2021-03-15 13:00:00,37.78,12.16,52.47,66.57,31.54
95,2021-03-15 14:00:00,27.86,12.97,48.77,63.41,40.13
96,2021-03-15 15:00:00,30.83,14.84,42.45,53.63,45.22
97,2021-03-15 16:00:00,33.6,14.45,40.05,49.04,48.17
98,2021-03-15 17:00:00,27.73,14.88,47.12,61.57,45.21
99,2021-03-15 18:00:00,32.11,14.49,41.45,51.39,47.07
100,2021-03-15 19:00:00,28.66,15.13,48.54,61.46,36.2
101,2021-03-15 20:00:00,28.05,15.16,42.66,50.68,29.77
102,2021-03-15 21:00:00,26.76,15.55,36.71,43.92,26.66
103,2021-03-15 22:00:00,21.94,14.8,47.24,54.71,24.59
104,2021-03-15 23:00:00,25.58,14.46,38.36,45.37,31.61
105,2021-03-16 00:00:00,20.12,14.55,27.37,32.69,43.43
106,2021-03-16 01:00:00,19.17,8.36,19.61,22.69,44.15
107,2021-03-16 02:00:00,25.26,8.63,28.88,32.22,34.13
108,2021-03-16 03:00:00,18.58,7.89,39.12,44.02,27.7
109,2021-03-16 04:00:00,13.82,8.41,19.38,21.17,52.49
110,2021-03-16 05:00:00,10.69,8.55,8.74,9.96,77.18
111,2021-03-16 06:00:00,9.33,8.18,6.78,7.87,76.87
112,2021-03-16 07:00:00,11.88,8.18,9.63,10.85,77.56
113,2021-03-16 08:00:00,8.43,8.79,17.77,20.26,75.5
114,2021-03-16 09:00:00,6.75,9.23,17.23,20.52,76.53
115,2021-03-16 10:00:00,4.98,9.07,13.81,17.0,77.25
116,2021-03-16 11:00:00,4.3,8.75,12.61,15.86,73.52
117,2021-03-16 12:00:00,3.85,8.71,13.18,17.24,74.77
118,2021-03-16 13:00:00,3.76,8.98,21.26,26.86,72.1
119,2021-03-16 14:00:00,3.59,8.03,14.09,18.37,75.87
120,2021-03-16 15:00:00,5.95,7.41,12.69,16.6,74.11
121,2021-03-16 16:00:00,6.34,7.61,12.61,16.38,78.37
122,2021-03-16 17:00:00,6.21,8.06,12.52,15.88,77.94
123,2021-03-16 18:00:00,5.76,8.08,14.13,17.35,76.46
124,2021-03-16 19:00:00,7.3,7.96,15.13,18.44,74.17
125,2021-03-16 20:00:00,8.22,7.82,25.82,30.26,64.11
126,2021-03-16 21:00:00,6.54,7.72,20.44,23.92,65.04
127,2021-03-16 22:00:00,5.09,7.78,13.11,15.77,70.83
128,2021-03-16 23:00:00,6.81,8.41,17.86,20.77,68.08
129,2021-03-17 00:00:00,7.39,8.44,18.6,20.69,67.42
130,2021-03-17 01:00:00,8.16,8.58,24.81,27.52,59.83
131,2021-03-17 02:00:00,12.33,8.91,20.63,23.33,53.43
132,2021-03-17 03:00:00,16.74,8.67,16.22,17.77,59.67
133,2021-03-17 04:00:00,17.71,7.94,9.98,11.14,71.19
134,2021-03-17 05:00:00,12.99,8.26,9.33,10.25,70.48
135,2021-03-17 06:00:00,10.55,8.13,12.58,13.83,65.73
136,2021-03-17 07:00:00,9.34,8.58,9.74,10.85,67.86
137,2021-03-17 08:00:00,13.69,8.61,22.22,25.4,58.61
138,2021-03-17 09:00:00,10.2,9.05,39.33,46.73,44.44
139,2021-03-17 10:00:00,7.6,8.81,33.23,38.78,50.24
140,2021-03-17 11:00:00,6.78,8.63,32.7,38.22,48.73
141,2021-03-17 12:00:00,8.82,8.84,30.08,35.5,50.59
142,2021-03-17 13:00:00,11.05,9.33,47.19,61.48,42.02
143,2021-03-17 14:00:00,14.15,10.1,25.8,34.47,62.77
144,2021-03-17 15:00:00,17.9,9.73,14.62,19.86,76.33
145,2021-03-17 16:00:00,12.99,8.86,13.76,18.19,81.12
146,2021-03-17 17:00:00,9.46,8.4,14.64,18.28,80.41
147,2021-03-17 18:00:00,8.75,8.4,16.21,20.12,77.12
148,2021-03-17 19:00:00,7.44,8.35,19.83,23.46,70.73
149,2021-03-17 20:00:00,8.84,8.54,76.35,101.68,30.01
150,2021-03-17 21:00:00,10.86,8.14,87.77,117.34,8.65
151,2021-03-17 22:00:00,8.25,7.97,61.62,75.03,23.74
152,2021-03-17 23:00:00,11.79,7.58,49.76,58.42,32.21
153,2021-03-18 00:00:00,16.5,7.35,44.53,52.0,35.07
154,2021-03-18 01:00:00,12.39,6.93,29.14,32.4,50.45
155,2021-03-18 02:00:00,11.47,7.01,28.91,32.28,50.17
156,2021-03-18 03:00:00,11.66,6.51,34.78,38.39,41.57
157,2021-03-18 04:00:00,9.46,6.94,13.58,14.64,61.42
158,2021-03-18 05:00:00,8.5,6.67,24.54,26.67,50.98
159,2021-03-18 06:00:00,7.41,6.82,14.45,15.36,57.22
160,2021-03-18 07:00:00,8.39,7.4,31.17,34.31,43.52
161,2021-03-18 08:00:00,6.13,7.03,39.84,43.76,37.33
162,2021-03-18 09:00:00,5.6,6.62,23.49,26.67,45.41
163,2021-03-18 10:00:00,6.87,7.05,27.3,35.21,49.87
164,2021-03-18 11:00:00,6.91,7.75,30.08,41.24,55.56
165,2021-03-18 12:00:00,16.08,7.86,44.19,62.54,52.59
166,2021-03-18 13:00:00,21.92,8.94,27.99,37.32,69.78
167,2021-03-18 14:00:00,19.81,7.36,14.92,19.81,79.94
168,2021-03-18 15:00:00,14.63,6.52,12.71,17.25,81.76
169,2021-03-18 16:00:00,13.64,6.33,15.36,19.45,79.35
170,2021-03-18 17:00:00,10.76,5.49,16.18,20.68,80.44
171,2021-03-18 18:00:00,11.69,5.29,13.98,17.23,81.44
172,2021-03-18 19:00:00,13.45,5.29,24.77,28.2,68.49
173,2021-03-18 20:00:00,18.2,5.92,38.96,45.14,52.22
174,2021-03-18 21:00:00,14.18,5.92,57.15,69.35,33.12
175,2021-03-18 22:00:00,17.38,6.0,36.83,42.01,46.22
176,2021-03-18 23:00:00,14.84,5.91,18.45,20.92,64.84
177,2021-03-19 00:00:00,10.68,6.09,16.92,18.99,64.36
178,2021-03-19 01:00:00,9.0,8.4,18.27,20.44,56.76
179,2021-03-19 02:00:00,6.33,9.0,25.32,28.17,55.52
180,2021-03-19 03:00:00,4.6,8.97,17.28,19.05,60.34
181,2021-03-19 04:00:00,3.77,9.11,10.94,11.87,61.08
182,2021-03-19 05:00:00,6.72,9.2,15.31,16.42,54.86
183,2021-03-19 06:00:00,5.51,9.5,12.01,13.22,59.07
184,2021-03-19 07:00:00,4.78,9.61,39.33,44.43,32.26
185,2021-03-19 08:00:00,3.96,9.52,42.26,51.06,31.19
186,2021-03-19 09:00:00,5.76,10.08,48.87,66.41,34.37
187,2021-03-19 10:00:00,14.02,12.3,71.68,105.55,32.54
188,2021-03-19 11:00:00,30.23,11.87,38.66,52.08,54.1
189,2021-03-19 12:00:00,36.48,13.09,29.0,37.79,62.73
190,2021-03-19 13:00:00,33.37,18.81,26.58,34.66,70.86
191,2021-03-19 14:00:00,36.68,12.93,21.91,27.56,75.71
192,2021-03-19 15:00:00,34.71,11.84,26.77,32.53,75.42
193,2021-03-19 16:00:00,25.83,10.55,23.97,28.94,74.21
194,2021-03-19 17:00:00,24.93,9.81,20.55,24.85,76.2
195,2021-03-19 18:00:00,18.85,9.63,13.88,16.91,77.2
196,2021-03-19 19:00:00,19.71,10.12,19.76,23.03,75.0
197,2021-03-19 20:00:00,20.62,10.23,29.42,33.7,66.01
198,2021-03-19 21:00:00,20.26,10.49,28.39,32.68,63.68
199,2021-03-19 22:00:00,16.67,11.49,39.53,44.06,50.25
200,2021-03-19 23:00:00,16.93,11.51,26.8,29.59,58.17
201,2021-03-20 00:00:00,18.04,11.55,19.84,21.93,65.88
202,2021-03-20 01:00:00,13.8,8.46,22.93,25.34,62.7
203,2021-03-20 02:00:00,14.12,8.39,15.42,17.59,69.06
204,2021-03-20 03:00:00,11.59,8.82,13.71,15.24,66.21
205,2021-03-20 04:00:00,11.91,8.75,10.83,11.77,72.83
206,2021-03-20 05:00:00,9.28,9.02,18.93,19.99,65.44
207,2021-03-20 06:00:00,10.35,8.59,14.38,15.38,65.23
208,2021-03-20 07:00:00,11.69,9.86,28.68,31.85,39.17
209,2021-03-20 08:00:00,14.05,9.47,58.17,70.83,13.56
210,2021-03-20 09:00:00,20.6,9.44,53.29,65.33,21.62
211,2021-03-20 10:00:00,24.4,9.91,37.78,47.56,32.84
212,2021-03-20 11:00:00,27.03,10.78,79.72,118.3,28.67
213,2021-03-20 12:00:00,29.41,12.41,45.94,62.84,47.73
214,2021-03-20 13:00:00,28.81,10.66,21.43,27.36,71.48
215,2021-03-20 14:00:00,26.44,10.74,22.55,28.54,73.54
216,2021-03-20 15:00:00,21.07,11.02,26.03,33.74,72.06
217,2021-03-20 16:00:00,28.08,10.32,32.7,40.89,63.36
218,2021-03-20 17:00:00,21.55,10.3,30.47,38.52,63.15
219,2021-03-20 18:00:00,25.49,10.55,37.39,45.04,53.96
220,2021-03-20 19:00:00,22.4,10.21,23.02,26.78,61.1
221,2021-03-20 20:00:00,22.88,10.98,43.28,52.22,44.06
222,2021-03-20 21:00:00,22.75,11.02,55.57,63.95,28.97
223,2021-03-20 22:00:00,19.79,10.85,24.48,27.88,47.48
224,2021-03-20 23:00:00,17.17,10.93,61.65,80.86,15.75
225,2021-03-21 00:00:00,13.82,10.96,42.06,49.45,29.13
226,2021-03-21 01:00:00,12.54,6.36,30.4,38.79,45.4
227,2021-03-21 02:00:00,10.09,6.8,16.81,20.4,48.04
228,2021-03-21 03:00:00,13.78,7.2,16.13,18.29,46.19
229,2021-03-21 04:00:00,14.11,7.03,16.32,19.02,44.71
230,2021-03-21 05:00:00,16.04,7.64,18.86,20.68,34.03
231,2021-03-21 06:00:00,16.13,7.79,13.46,14.56,41.12
232,2021-03-21 07:00:00,14.33,8.24,24.87,27.94,22.99
233,2021-03-21 08:00:00,11.33,8.24,44.86,60.12,11.52
234,2021-03-21 09:00:00,18.83,8.67,40.62,56.1,18.45
235,2021-03-21 10:00:00,24.92,10.91,36.7,50.33,37.2
236,2021-03-21 11:00:00,23.44,9.99,28.56,38.39,51.4
237,2021-03-21 12:00:00,20.34,10.65,34.26,46.92,55.82
238,2021-03-21 13:00:00,34.5,16.09,32.68,41.12,69.32
239,2021-03-21 14:00:00,46.27,12.31,20.98,26.26,73.39
240,2021-03-21 15:00:00,41.68,11.1,17.52,21.86,75.87
241,2021-03-21 16:00:00,38.5,10.08,11.9,14.95,77.51
242,2021-03-21 17:00:00,39.91,10.0,8.91,10.84,75.2
243,2021-03-21 18:00:00,46.43,9.32,9.79,12.29,69.88
244,2021-03-21 19:00:00,43.01,9.7,15.58,18.18,60.98
245,2021-03-21 20:00:00,49.83,10.02,17.25,19.52,53.24
246,2021-03-21 21:00:00,41.58,11.35,29.47,32.93,43.33
247,2021-03-21 22:00:00,41.09,10.9,33.03,37.22,35.63
248,2021-03-21 23:00:00,43.19,13.02,65.48,85.42,13.82
249,2021-03-22 00:00:00,44.82,11.44,61.98,84.21,9.29
250,2021-03-22 01:00:00,53.59,9.9,37.33,45.57,28.51
251,2021-03-22 02:00:00,49.65,10.19,56.6,75.0,
252,2021-03-22 03:00:00,45.83,8.59,58.85,72.74,3.95
253,2021-03-22 04:00:00,51.36,6.84,45.81,56.99,10.16
254,2021-03-22 05:00:00,57.3,6.46,28.46,32.41,23.34
255,2021-03-22 06:00:00,58.09,8.34,54.48,66.46,
256,2021-03-22 07:00:00,49.84,11.57,50.22,62.36,10.89
257,2021-03-22 08:00:00,57.61,8.32,56.12,72.52,12.5
258,2021-03-22 09:00:00,63.35,8.67,68.33,97.34,2.44
259,2021-03-22 10:00:00,61.08,9.52,63.09,87.88,12.68
260,2021-03-22 11:00:00,,,,,
261,2021-03-22 12:00:00,,144.68,,,29.42
262,2021-03-22 13:00:00,,10.6,29.17,37.22,44.14
263,2021-03-22 14:00:00,54.58,21.73,,,56.49
264,2021-03-22 15:00:00,160.88,20.05,,,58.42
265,2021-03-22 16:00:00,189.83,20.06,,,60.35
266,2021-03-22 17:00:00,208.32,20.29,,,63.74
267,2021-03-22 18:00:00,201.02,20.38,,,64.23
268,2021-03-22 19:00:00,185.35,20.28,,,68.34
269,2021-03-22 20:00:00,157.3,20.96,,,62.59
270,2021-03-22 21:00:00,132.68,20.96,,,59.9
271,2021-03-22 22:00:00,121.37,21.42,,,48.87
272,2021-03-22 23:00:00,118.89,22.03,,,46.02
273,2021-03-23 00:00:00,110.71,21.44,,,36.51
274,2021-03-23 01:00:00,100.75,13.88,27.88,32.57,47.18
275,2021-03-23 02:00:00,103.39,,,,
276,2021-03-23 03:00:00,112.25,15.34,25.68,27.45,55.08
277,2021-03-23 04:00:00,118.12,16.06,31.76,34.33,39.69
278,2021-03-23 05:00:00,123.25,14.44,15.88,17.15,54.17
279,2021-03-23 06:00:00,128.97,12.21,10.52,11.94,66.7
280,2021-03-23 07:00:00,131.85,12.3,13.13,14.7,61.17
281,2021-03-23 08:00:00,112.19,11.91,20.1,23.48,52.6
282,2021-03-23 09:00:00,81.21,11.9,32.29,39.19,40.95
283,2021-03-23 10:00:00,65.57,12.01,28.54,33.85,45.09
284,2021-03-23 11:00:00,52.35,12.77,46.81,57.38,27.26
285,2021-03-23 12:00:00,42.98,12.37,29.43,37.77,46.47
286,2021-03-23 13:00:00,43.8,12.56,31.83,36.97,42.8
287,2021-03-23 14:00:00,53.63,12.95,30.54,38.24,45.74
288,2021-03-23 15:00:00,59.38,12.88,40.61,49.06,30.35
289,2021-03-23 16:00:00,55.22,12.41,16.83,21.11,53.23
290,2021-03-23 17:00:00,36.17,13.02,11.98,15.42,56.33
291,2021-03-23 18:00:00,24.59,12.68,17.13,21.5,54.2
292,2021-03-23 19:00:00,17.26,13.63,16.09,19.46,59.79
293,2021-03-23 20:00:00,15.68,14.02,18.02,20.38,61.44
294,2021-03-23 21:00:00,18.3,14.74,33.29,39.85,39.85
295,2021-03-23 22:00:00,16.11,14.36,14.92,17.92,51.89
296,2021-03-23 23:00:00,11.91,13.67,16.77,18.79,46.9
297,2021-03-24 00:00:00,8.96,13.27,10.61,12.15,49.64
298,2021-03-24 01:00:00,6.33,11.22,10.36,11.5,57.28
299,2021-03-24 02:00:00,4.59,11.53,7.69,8.46,60.31
300,2021-03-24 03:00:00,3.76,11.4,6.97,7.73,61.02
301,2021-03-24 04:00:00,3.19,11.24,6.6,7.35,60.45
302,2021-03-24 05:00:00,2.51,11.63,5.79,6.19,66.25
303,2021-03-24 06:00:00,2.21,11.5,6.61,7.52,69.6
304,2021-03-24 07:00:00,2.09,11.25,6.94,7.57,70.28
305,2021-03-24 08:00:00,1.92,11.6,10.23,11.4,64.06
306,2021-03-24 09:00:00,1.71,11.71,12.08,14.37,65.26
307,2021-03-24 10:00:00,1.81,11.35,10.55,13.66,63.74
308,2021-03-24 11:00:00,1.83,11.57,11.1,14.72,63.77
309,2021-03-24 12:00:00,1.74,11.65,9.23,12.38,66.08
310,2021-03-24 13:00:00,1.78,11.56,12.55,15.46,63.39
311,2021-03-24 14:00:00,1.82,11.23,17.27,20.61,62.57
312,2021-03-24 15:00:00,1.82,11.07,17.99,20.9,68.68
313,2021-03-24 16:00:00,2.01,10.9,12.44,14.31,73.56
314,2021-03-24 17:00:00,2.29,10.6,16.23,18.27,71.24
315,2021-03-24 18:00:00,2.33,10.58,20.39,22.32,64.65
316,2021-03-24 19:00:00,2.36,10.54,20.25,22.23,64.53
317,2021-03-24 20:00:00,2.35,10.37,17.77,19.47,64.85
318,2021-03-24 21:00:00,2.37,10.14,9.62,10.97,66.86
319,2021-03-24 22:00:00,2.39,9.98,8.7,9.91,61.75
320,2021-03-24 23:00:00,2.46,9.85,7.99,9.02,61.62
321,2021-03-25 00:00:00,2.48,9.85,7.24,8.12,62.94
322,2021-03-25 01:00:00,2.49,10.76,6.85,7.69,64.15
323,2021-03-25 02:00:00,2.48,10.24,6.15,6.88,63.82
324,2021-03-25 03:00:00,2.41,10.23,5.94,6.57,65.67
325,2021-03-25 04:00:00,2.37,10.1,5.45,5.96,65.38
326,2021-03-25 05:00:00,2.37,9.93,5.1,5.6,65.12
327,2021-03-25 06:00:00,2.36,10.01,4.61,5.03,69.37
328,2021-03-25 07:00:00,2.32,9.99,6.79,7.2,70.27
329,2021-03-25 08:00:00,2.25,10.54,18.1,21.39,60.34
330,2021-03-25 09:00:00,2.19,9.79,16.35,20.02,64.33
331,2021-03-25 10:00:00,2.17,9.54,11.91,15.86,69.56
332,2021-03-25 11:00:00,2.21,10.16,7.63,10.19,74.24
333,2021-03-25 12:00:00,2.25,9.74,9.83,12.68,76.28
334,2021-03-25 13:00:00,2.61,9.07,9.65,12.31,82.43
335,2021-03-25 14:00:00,3.17,8.87,9.14,11.28,84.54
336,2021-03-25 15:00:00,3.32,8.76,10.29,13.36,87.59
337,2021-03-25 16:00:00,3.43,8.99,9.06,11.47,89.69
338,2021-03-25 17:00:00,3.48,8.73,9.67,11.89,88.97
339,2021-03-25 18:00:00,5.29,8.35,12.13,14.21,87.36
340,2021-03-25 19:00:00,8.48,8.23,14.12,15.82,81.93
341,2021-03-25 20:00:00,11.35,8.49,17.83,19.24,76.84
342,2021-03-25 21:00:00,13.29,8.67,17.07,18.57,78.06
343,2021-03-25 22:00:00,10.37,8.37,11.94,12.78,84.37
344,2021-03-25 23:00:00,8.3,8.83,13.25,13.93,83.3
345,2021-03-26 00:00:00,6.11,8.56,11.69,12.25,86.33
346,2021-03-26 01:00:00,4.89,11.18,,,88.87
347,2021-03-26 02:00:00,3.99,11.24,6.01,6.44,80.97
348,2021-03-26 03:00:00,3.07,11.65,8.91,9.4,73.53
349,2021-03-26 04:00:00,2.94,11.13,7.32,7.74,74.42
350,2021-03-26 05:00:00,2.96,11.38,6.04,6.47,75.64
351,2021-03-26 06:00:00,2.73,11.4,6.74,7.2,73.78
352,2021-03-26 07:00:00,2.53,11.17,8.77,9.35,68.68
353,2021-03-26 08:00:00,2.2,10.76,9.68,11.1,66.08
354,2021-03-26 09:00:00,1.93,11.1,9.45,11.81,68.64
355,2021-03-26 10:00:00,1.83,10.58,8.0,10.38,72.11
356,2021-03-26 11:00:00,2.03,10.54,8.76,11.43,74.33
357,2021-03-26 12:00:00,3.25,10.05,8.97,11.48,74.96
358,2021-03-26 13:00:00,5.06,9.87,8.79,10.98,77.72
359,2021-03-26 14:00:00,5.68,9.56,8.55,10.59,80.74
360,2021-03-26 15:00:00,4.91,9.63,8.98,11.03,83.2
361,2021-03-26 16:00:00,5.94,8.97,8.34,10.08,83.55
362,2021-03-26 17:00:00,7.58,8.86,9.66,11.69,84.57
363,2021-03-26 18:00:00,7.1,8.96,15.73,19.17,78.85
364,2021-03-26 19:00:00,7.14,8.46,14.17,16.14,78.78
365,2021-03-26 20:00:00,5.24,8.9,12.73,14.12,77.09
366,2021-03-26 21:00:00,4.87,9.51,14.41,16.16,72.18
367,2021-03-26 22:00:00,5.63,9.46,9.96,11.42,77.78
368,2021-03-26 23:00:00,4.06,9.87,9.8,10.61,77.63
369,2021-03-27 00:00:00,4.06,10.07,11.13,12.23,72.73
370,2021-03-27 01:00:00,5.12,11.65,12.35,13.52,69.36
371,2021-03-27 02:00:00,4.47,11.75,10.72,11.45,70.38
372,2021-03-27 03:00:00,4.4,11.16,8.07,8.75,70.21
373,2021-03-27 04:00:00,5.27,11.13,8.03,8.67,71.19
374,2021-03-27 05:00:00,4.87,11.4,6.86,7.37,72.67
375,2021-03-27 06:00:00,4.89,11.41,6.87,7.3,73.5
376,2021-03-27 07:00:00,5.53,11.43,9.26,9.94,73.33
377,2021-03-27 08:00:00,5.28,15.39,34.87,44.81,44.03
378,2021-03-27 09:00:00,5.17,14.21,48.35,69.62,35.49
379,2021-03-27 10:00:00,7.16,12.15,35.05,49.49,56.62
380,2021-03-27 11:00:00,10.71,11.24,15.27,19.97,68.05
381,2021-03-27 12:00:00,13.24,9.18,11.22,13.41,73.42
382,2021-03-27 13:00:00,16.17,9.14,10.89,13.21,75.45
383,2021-03-27 14:00:00,17.35,8.74,9.61,11.86,82.24
384,2021-03-27 15:00:00,17.77,8.62,12.29,15.34,83.71
385,2021-03-27 16:00:00,18.08,7.9,13.47,16.69,82.74
386,2021-03-27 17:00:00,15.95,7.8,16.37,19.62,80.3
387,2021-03-27 18:00:00,11.59,8.06,16.44,19.86,78.93
388,2021-03-27 19:00:00,10.06,8.04,23.4,27.08,73.06
389,2021-03-27 20:00:00,12.05,8.53,38.08,41.56,50.79
390,2021-03-27 21:00:00,14.03,9.25,45.13,48.08,44.89
391,2021-03-27 22:00:00,13.55,7.88,26.83,28.39,64.28
392,2021-03-27 23:00:00,12.77,8.79,27.66,29.65,61.74
393,2021-03-28 00:00:00,10.9,8.96,35.11,37.88,46.34
394,2021-03-28 01:00:00,11.42,13.07,34.22,40.62,48.22
395,2021-03-28 02:00:00,13.78,12.73,38.98,43.12,36.68
396,2021-03-28 03:00:00,12.65,11.19,43.76,51.9,21.16
397,2021-03-28 04:00:00,14.18,10.24,48.81,58.9,16.13
398,2021-03-28 05:00:00,15.28,8.76,20.0,21.38,51.93
399,2021-03-28 06:00:00,14.62,9.05,22.36,23.41,59.97
400,2021-03-28 07:00:00,11.0,9.61,28.79,31.0,44.97
401,2021-03-28 08:00:00,7.96,9.27,22.91,25.54,54.63
