_id,date,pm10_µg_m3,so2_µg_m3,no2_mg_m3,nox_µg_m3,o3_µg_m3
1,2021-03-11 16:00:00,48.15,14.99,,,76.15
2,2021-03-11 17:00:00,48.92,24.56,19.6,22.55,59.41
3,2021-03-11 18:00:00,46.78,24.13,22.79,26.84,34.39
4,2021-03-11 19:00:00,36.17,24.33,19.56,22.28,39.45
5,2021-03-11 20:00:00,27.96,24.81,15.23,16.99,49.99
6,2021-03-11 21:00:00,23.13,24.74,14.4,15.92,55.72
7,2021-03-11 22:00:00,17.26,24.64,11.18,12.41,55.7
8,2021-03-11 23:00:00,13.61,24.99,10.54,11.86,54.63
9,2021-03-12 00:00:00,10.3,21.69,9.13,10.01,60.93
10,2021-03-12 01:00:00,9.45,7.18,8.77,10.23,53.05
11,2021-03-12 02:00:00,10.31,7.54,8.04,9.11,60.71
12,2021-03-12 03:00:00,9.1,7.48,7.31,8.32,59.9
13,2021-03-12 04:00:00,7.54,6.83,6.68,7.65,60.12
14,2021-03-12 05:00:00,6.08,6.9,6.88,7.75,60.04
15,2021-03-12 06:00:00,4.56,6.83,7.0,7.73,61.1
16,2021-03-12 07:00:00,3.55,6.55,9.23,10.15,58.67
17,2021-03-12 08:00:00,2.65,6.25,15.38,17.59,55.31
18,2021-03-12 09:00:00,3.7,6.54,17.62,21.48,54.8
19,2021-03-12 10:00:00,6.52,6.48,12.21,15.75,61.4
20,2021-03-12 11:00:00,7.07,6.52,9.33,11.69,71.64
21,2021-03-12 12:00:00,5.87,6.26,7.79,10.02,73.43
22,2021-03-12 13:00:00,5.01,5.86,9.11,12.55,75.94
23,2021-03-12 14:00:00,5.07,5.97,10.14,13.43,79.32
24,2021-03-12 15:00:00,6.25,5.57,10.48,13.41,78.6
25,2021-03-12 16:00:00,7.01,,10.28,13.54,79.12
26,2021-03-12 17:00:00,6.14,,12.07,15.98,80.78
27,2021-03-12 18:00:00,6.46,7.26,14.9,20.19,76.34
28,2021-03-12 19:00:00,5.69,6.61,27.91,36.03,64.06
29,2021-03-12 20:00:00,9.61,7.36,39.45,50.13,53.59
30,2021-03-12 21:00:00,11.24,8.97,82.2,109.89,28.62
31,2021-03-12 22:00:00,16.34,6.58,83.55,104.66,7.18
32,2021-03-12 23:00:00,17.47,7.08,89.59,114.52,5.45
33,2021-03-13 00:00:00,24.37,12.38,104.53,137.26,
34,2021-03-13 01:00:00,35.9,9.08,50.51,57.82,33.78
35,2021-03-13 02:00:00,37.28,7.55,46.17,51.74,33.39
36,2021-03-13 03:00:00,27.36,6.82,42.89,48.0,30.17
37,2021-03-13 04:00:00,20.19,6.8,50.39,57.6,21.92
38,2021-03-13 05:00:00,17.7,8.01,61.82,74.5,14.11
39,2021-03-13 06:00:00,15.1,7.54,72.21,97.37,3.71
40,2021-03-13 07:00:00,11.59,7.67,66.05,84.47,6.5
41,2021-03-13 08:00:00,8.73,9.11,91.47,140.57,3.21
42,2021-03-13 09:00:00,14.02,14.8,93.47,145.1,15.4
43,2021-03-13 10:00:00,35.31,15.57,64.34,92.63,35.43
44,2021-03-13 11:00:00,44.16,15.69,89.11,127.46,39.1
45,2021-03-13 12:00:00,58.85,22.8,84.38,115.77,48.45
46,2021-03-13 13:00:00,80.21,17.12,55.44,71.74,66.9
47,2021-03-13 14:00:00,72.56,12.8,53.04,66.36,75.42
48,2021-03-13 15:00:00,69.88,12.03,49.62,62.32,75.68
49,2021-03-13 16:00:00,67.07,9.08,44.22,55.16,75.47
50,2021-03-13 17:00:00,59.85,8.11,37.94,45.9,79.24
51,2021-03-13 18:00:00,48.92,7.9,44.08,51.96,69.8
52,2021-03-13 19:00:00,44.11,11.6,63.66,78.2,50.93
53,2021-03-13 20:00:00,46.64,11.42,119.4,167.37,11.08
54,2021-03-13 21:00:00,44.57,9.93,128.69,199.03,1.46
55,2021-03-13 22:00:00,41.26,11.04,119.36,174.34,2.81
56,2021-03-13 23:00:00,49.26,10.33,105.21,147.5,8.51
57,2021-03-14 00:00:00,49.7,8.98,78.08,98.68,14.54
58,2021-03-14 01:00:00,40.26,11.72,100.29,152.83,
59,2021-03-14 02:00:00,37.26,10.12,91.54,137.06,
60,2021-03-14 03:00:00,36.37,9.62,72.85,97.93,8.57
61,2021-03-14 04:00:00,35.06,9.45,62.23,73.57,11.27
62,2021-03-14 05:00:00,29.6,11.49,64.55,76.29,15.16
63,2021-03-14 06:00:00,25.69,11.15,66.12,75.24,11.72
64,2021-03-14 07:00:00,21.08,9.73,75.64,98.54,5.09
65,2021-03-14 08:00:00,23.41,9.91,69.67,92.27,3.85
66,2021-03-14 09:00:00,23.3,11.9,92.99,147.03,5.22
67,2021-03-14 10:00:00,26.13,13.37,50.17,67.36,29.86
68,2021-03-14 11:00:00,28.4,14.05,26.96,36.48,41.73
69,2021-03-14 12:00:00,28.32,23.31,24.53,32.63,51.58
70,2021-03-14 13:00:00,26.34,16.85,15.5,19.91,71.49
71,2021-03-14 14:00:00,26.02,12.53,12.17,15.02,80.97
72,2021-03-14 15:00:00,18.75,12.64,16.26,19.31,79.97
73,2021-03-14 16:00:00,16.58,13.46,16.99,20.01,79.22
74,2021-03-14 17:00:00,19.04,14.23,19.97,22.74,74.34
75,2021-03-14 18:00:00,16.78,14.37,23.3,24.92,69.9
76,2021-03-14 19:00:00,20.97,13.57,17.25,19.27,63.67
77,2021-03-14 20:00:00,19.47,13.29,24.43,27.35,46.63
78,2021-03-14 21:00:00,20.37,13.14,24.37,27.63,37.53
79,2021-03-14 22:00:00,15.13,14.32,24.32,27.11,39.01
